intents,patterns
"Going to be picked up by Chris very soon,idk when I'll be able to check twit again, I love you Megan,I'll see you on ps3 Anthony, Bye Mom ",4
5 HOURS ,4
Smells good! Like a barbecue party ,4
@pamparish awesome...is he gonna footloose? Or maybe take it back to pooh corner...have fun either way ,4
bout to go make something for my lil daniel ,4
@tarjeiah I heard they stopped selling it at the airport because it stunk up the planes so bad when people opened the boxes in-flight. ,4
off to pick up my FIXED car! and then to the gym   time to get up!,4
 good song ? http://blip.fm/~5fj5f,4
@KatyComeTrue thanks for sharing and thanks for letting me share!   I luv the way you write... it's the reason why i followed.. ,4
Make-A-Wish Mother's Day Truck Convoy is coming up! DM me for more info...spread the word! ,4
@jchan3 then I vote yes ,4
@jr_raphael that sounds promising! I hope the pick up Chuck for another season ,4
Our 5 month old son started crawling today  w00t #fb,4
@greggarbo are you excited for the bahamas next week or WHAT? ,4
watching britains got talent  i wanna be on there ,4
"@greggarbo what's your favorite song right now? btw, your incredible ",4
@MikeKoenigs - 2 houses is enough for me  Toronto in the summer and Florida in the winter gives me my own &quot;east coast&quot; San Diego climate!,4
@Tiffy_Rose thank u ,4
"@christian_82 yeah  I'm not sure where we got the stamp made, but I can find out if you are interested.",4
"@papalote415 Awwwe, you're gonna be around my area! Except I'll be Fremont bound! teehee! Enjoy the parties! ",4
"having a beautiful day, great weather and i am going to see the first lambs of the spring ",4
"Britains got talent. oh yes, we do. ",4
about to eat some breakfast ,4
@onegoodnaysayer  I am &amp; I can't wait! ,4
"@LilPecan @JeremyHerbel heehee... duct tape, huh? they've gotten over whatever it was by now. until next time ",4
@SolaRover YVW! It's the least I could do to repay you for the chuckle you gave me with your &quot;nag on&quot; comment ,4
Camp Rock should come on more often... it's just so great!  hahaha,4
"@TheComputerNerd i will be there to watch it when you post it, your really funny and i think your cute ",4
"@MattCohenIII LOL, guitar hero is about the only game i DON'T know how to play  .. i'm addicted to Lost Planet at the time... pretty fun!!",4
@missangelyss do that dance ,4
"Hi I am @ the AC in Truro, getting ready for the dye class and many pretty colors! yea ha hookers heaven then a great drink ",4
just got back from chalkidiki! awesome day ,4
I have neglected my baby. Time to play my ps3. ,4
@jameswelford Sounds an interesting request..being a pygmy goat owner myself...would be interested in the results! ,4
"@donniesgirl29 Me either! lol, I enjoy spending my time waiting for 1 of the guys to tweet, ohh I'm lame! How old is Ur son? ",4
Right signing off now. Goodnight all ,4
@izzzo like what? ARE WE GOING TO DISNEYLAND?!  ,4
Simon Cowell..Ant and Dec? Britains got talent ,4
Is getting first meal of the day at Swingers ,4
@terraM you're telling me ,4
blah SATs. filming and fireworks later ,4
@aarosaless Hey what's up? My name is Caleb and I'm your newest follower!!! ,4
@JoJoLeigh oh shush you is nice to me ,4
@saaam_ yess it wass  :L,4
@JuliaGoolia hmmm yeah... i don't think so ,4
@otibml Thanks ,4
wish i could see Hey Monday again! ,4
@macosophy LOL at the &quot;wasting my life away&quot; part. Is your job really that bad?  I think I already know the answer ,4
MIght go to the Grand Canyon ,4
@GamePlanHayden 2 things. One:Not sure what the &quot;shoe is dead&quot; means. Two: You get major cool points for enjoyin the high-life. Cheers ,4
"Cleaning my room like never before! I want to have everything sparkling for when I leave town, so when I come back my room is spotless ",4
almost finished with that bird collab with imilj ,4
@NafeesaA you missing out on some hot pics... get me a small and medium and ill try n get u what u need.  lol yah trick..,4
"Wooohoooo! I hit 1,000 followers! ",4
@McFLYAddiction corcovado!  #fletcherday,4
@aliceisawesome idk.. ur very nice ,4
enjoying chilling on a Saturday night  It's nice doing NOTHING!,4
@NyssaM http://twitpic.com/4f82d - Aww! Cute. In a slightly odd way ,4
@Connyyy haha  that's awesome. so far they've only posted annemarie and sarah's pre-performance clips...it is so slow today!,4
"@jtug - If you got time, check my Facebook profile. Ada video mas @pinot diwawancara RCTI ",4
"@Sha_Ron understood! Big brother is watchin?? Lol. Ooh and I sent that to myself at first, what a doofus!  u caught that.. lmao",4
@lngoeyegrl Glad you had a good time celebrating ,4
@Sarahbear9789 I sent you some mail ,4
"@mantic59 Yep, the massage was out of the ordinary  Found a few clips about cut throat shaving, some involving fire.",4
@crystalsaysthis lol im still going  i'm on ep 8 of season 1,4
@greggarbo how much do you love your toronto fans?!? ,4
@yaeljk Nope not yet! Got @tractorqueen and amelle's stuff the other day only... I'll keep my eyes open!  Still haven't watched it LOL ,4
"@ahoppi ) as if I have a choice... never mind, I'm used to it, no complaints here ",4
what a messy room!!! mygosh! I need reorganize it before the crop! ,4
Looking forward to the prospect of defacing my body yet again next week! Also excited for my authentic curry tonight! ,4
@RealAnnieDuke D:very impressed. You show real character and honesty. Hope you win; you should win hands down ,4
with Raya Jack Linc Logan ,4
"at johnny rockets with nikki after our target excursion! &quot;the only one for me is you, and you for me..&quot; ",4
Is breaking out the rain boots today ,4
In training for the venue didn't know I was being paid for being here yay ,4
i have a horrible hangover..ugh.. lord i shouldnt have mixed all them liquers.. lol going to the track write me if you wanna chit chat!! ,4
"@chrisrbailey if I didn't have unlimited texts, I'd send you a bill for $0.10. ",4
Enjoying my first night in in at least a fortnight ,4
@LukaIsntLuka I tend to do a lot of my day-hours shopping over here. Moonlight Sushi is in the area as well ,4
"I am eating chinese food, bad for the waist but good on taste  Love the peppered chicken",4
"@ktanstar  hey, I know you   but I don't know from where",4
"@dharshana I went to bed actually, thinking #bck5 I couldnt sleep, so I came here to catch some friends ",4
@greggarbo will you teach me how to play bass guitar?! ,4
@HopHopkins Love it!  Hope it was fun for you too ,4
@GabrielleAimee GOOD LUCK! ,4
http://twitpic.com/4f8vh - i justttt cant wait till 15 june ,4
Ok. Now i'm listening to the soundtrack of Mamma Mia in a disused mine  and it's on repeat!,4
@greggarbo IDK if you have answered this before but How did you meet the boys?  I'm curious about that,4
@meanolmeany same here. Still looking for one. They all have the same message... ,4
"Going to P.F. Chang's for dinner tonight! We've never been, so this should be fun ",4
going to the store be back soon ,4
@Ilkee i think she's sleeping. or possibly working. again. that girl is super woman ,4
@neveroddo i am in agreement! ,4
I'm performing at Left Coast Live in downtown San Jose Friday May 15th with the Crew.  http://tinyurl.com/czn47n,4
About to go home. Fixing some really old pictures on photobucket since i can't get on myspace. ,4
Going fishin with the Waltons  what a beautiful Saturday!!,4
"@elementalgeek Yes, being alive &amp; uninjured is always a plus ",4
"Betting on Papa Clem to win the Derby - had to choose Clem, that was the name my baby sis chose as a nickname while at camp ",4
"@ahbadr Don't worry the teams are self-organized, I just help on the sessions day &amp; that's it ",4
Watching Underworld; Fixing to eat Chik-Fil-A. ,4
@danjoyce TY for wishing me happy birthday on Twitter. U were the only one. ,4
It's #fletcherday ,4
"@NatesMama1128 True, you have to let me know how you like the movie! I LOVEd it ",4
"Time to work outside. Gotta finish prepping the deck, tomorrow is painting day. Ahhh Spring.  ",4
"play &quot;Waka- Waka&quot; in Facebook, ",4
@jamesiwilliams I luv Hello Kitty ,4
@nadinka22 here's been raining 4 the past 3 days.u can't go anywhere �� but im going 2 the movies 2morrow lol ,4
@pammieramone50 helping Steph study? ,4
@_xotashhh Now I'm dying for moreee. ,4
just got married to Gemma...yaaaaaayy  where are our wedding presents? LOOLL...do not leave us alone with sugar LOL,4
loves the turtle ,4
"@kaffy my brother is in to geocaching too, sounds like u r having fun ",4
@Lenore_lolita: http://sucreriemag.com/ You may wanna check this out... Its SO YOU! ,4
@claireoconnell ironing &amp; tweeting at same time- you could do master classes in multi tasking- way to go ,4
? That's What You Get ?  ? Paramore ? GREAT SONG!! Can't wait till their next album comes out!!  @paramore,4
looking forward to a long night of sleep ,4
watching Britains got talent ,4
"@Alyssa_Milano Oh &amp;also, one more thing: I wanted to show these to u http://is.gd/waTQ -I hope you like them ",4
I'M OFF  Bye  And don't forget to Do The Hoedown Throwdown xD ? Case it's Mileylicious xD,4
"@tttyg I dont get why my phone randomly dies either, Oh wait thats right, Its got a shit battery ",4
theres nothing better than dancing like crazy and singing at the to of your lungs to girls just wanna have fun with your best friend! ,4
@kendrajaderossi taking the afternoon off &amp; hanging with my munchkin at the movies. A day of hot boys in Fighting &amp; 17 Again  what u doin?,4
@BetsySharp @YouRememberThat Yeah... that is what I'm thinking too ,4
Peacocking ,4
"@brodyjenner http://twitpic.com/4f6kw - Cute funny face, Brody ",4
Join My Exclusive Marketing Group @mark33  http://tr.im/khLq,4
"@markhoppus from one SW fan to another, its Free Comic Book Day! And they're giving out a clone wars comic for free at comic book stores ",4
It's time to try to enjoy my weekend  ttyl! ^^,4
@Sidekick28 ta for the followfriday! ,4
@Ali_Sweeney keep up the good work! ,4
My lip gloss has real sugar in it. Yum.     ,4
Boris Kodjoe.... what a specimen ,4
watching Bride Wars!!! ,4
@ the diner with my mommy!  hit me up..,4
it's tea  but it's kinda cold now,4
"@Stilgar702 Haha XD dogs I don't mind...well that's not true, I can't stand my sisters dogs. I like cats  ...and Zebras...and otters.",4
"@vysh_doss Good stuff, ain't it? Yeah, you told me about Aamir. And you already know what Rendang is like reheated. ",4
@smokedrinkdrive i still have the bone!  that's kinda morbid but i keep stuff like that ,4
just sittin here chillin.... eatting mini chips ahoys   listen to bree clean her room yuppie,4
sunny miami day  out to the salon to spoil myself,4
"Ex pumpkins and poos we are Tulls, life goes on you know ",4
Eating lunch with Cheesus at the Zen House ,4
@Julia_13  lol get my mind out of the gutter? haha twitter sucks you dont know what the persons talking about. but love you tooo  haha,4
@jpenico you have to show up to find out. ,4
@greggarbo what is your musical influence? ,4
"@soBOMB I sure will the city going crazy right over the Bulls, Well to bad I'm a Lakers fan ",4
Headin 2 vegas 4 the fight! Time 4 sum Pacman! Flight is packed with Filipinos  Pinoy pride! http://twitpic.com/4f7rx (via @Aryty),4
Dad and I are in my baby.  I love sports cars!,4
Drama at 5:30. Then camping out with the cast ,4
Join My Exclusive Marketing Group @XJDMJh  http://tr.im/khLq,4
Short ride today - only did 85 miles today ,4
"Mmm, picture with Barry Zito ",4
is washing jacks pants ,4
@EcoRI wieso alt?! ,4
spent the last ten hours in bed. Mmmm delicious. ,4
@AlohaArleen when do you think is the best time to tweet? lol god am nosey arnt i  hehe,4
@alondrace YEAH! I do  sounds like fun!,4
updating my profile getting the record spinnig ,4
"Wee!  Once again, we're waiting for a proof. This time, it's SECOND DAY shipping so no more tracking number OCD ",4
i like the song surrender from billy talent heehee surrender every touch every smile every frown.... surrender yourself to me ,4
is now a RedHat Certified Engineer ,4
@smiley92 ohh thanks ,4
Chilling with the family ,4
"@JennMcIntosh damn straight, totally agreeing with you...martini's any night of the week, especially your way ",4
i like picasa. anyone with a google email and a digital camera should use it. ,4
@aliceisababe my birthday is on june 12th ,4
watching britains got talent ,4
"@gpk3 no - no place has one close by - I imagine the Humidour place in MD will, whenever I get to go there ",4
Weather: yesterday's adventures!!: The weather was nice for the art awards  The opening of the show wa.. http://tinyurl.com/dxwn9a,4
@TammyChicago Afternoon now!  I musta missed ya when I went to tea/lunch,4
@GlobalPatriot True...you make a great point. We should come up with a solution. ,4
Barca 4 - RM 2  Barca the best soccer team in the world,4
just relaxing in Eindhoven... building a new life  - just joined a new gym.... ,4
@hellosawah oooh intersesting  surfers are hot! xD,4
"@_christina_ I don't stress about keeping up with everything on Twitter, just what I have time for. That's the key. ",4
Hey! @lons sighting at Fred 62. I swear I am not a stalker  Just a fan.,4
Enjoying the sunshine .... hopefully for a while ,4
@mileycyrus http://twitpic.com/4cykv - Emily is a superstar ,4
watching Fav Nephew Koby &amp; kids participate in card tricks. I LOVE kids. ,4
@greggarbo What is your favourite song to perform? ,4
"@drdelacruz actually, mine come with four inch heels, a t-strap and a peep-toe, but I digress ",4
@mileycyrus that is so sweet! i love watching old baby videos with my family! ,4
@lovingyouiseasy its called &quot;Dream&quot;. ,4
@Oprah thank you SOO much for featuring Invisible Children on your show on Friday!! We are so grateful! ,4
"@greggarbo if you watch american idol, who are you rooting for? pleaseeeeeeee respond. your amazing garbo ",4
"I hear from a lot of people these days who are wondering if Twitter is a passing fad or not... We'll know soon (1 yr? 2yrs?), won't we? ",4
"I love your smile! Yea, for old school R&amp;B! ",4
is just straight chillin ,4
"1/3 Quebec Trip - Monday  Hey dad, we've been on the road for about 4 hours. We are in Montreal. Its nice and warm outside  All Ive",4
at sea grape beach.  bout to have a blast wiff besties. ,4
Just ate like. . . 1/3 a cup of Craisins  Got my 1 fruit serving. On to chicken alfredo!,4
It's my little brothers birthday today ,4
last night was goood  sorry to marah who isn't a whore. and never drink anything that tastes like suncream.,4
TALKINGTO MY GIRL @ALLIEEPJAFAN  ON MSN LOL &lt;3 ,4
@zsoltpalffy awww thank you. ,4
@SamwellCox only 2 and a half months to go mate ,4
"@julieunplugged i have been outside, being human, enjoying the spring  and back off i go!",4
going out for sushi this evening!! yay! JAPANESE ahah ,4
@Bluenscottish @Eric_Chambers  we were there in spirit... any offers?,4
"the last home game against CDM was last night.. i can't wait for my volleyball season ! p.s., great job advanced drama ! ",4
catching up with jagtesh!!! ,4
@deirdrakiai I think I'm gonna have to demand pics of this one! ,4
@xx_Megan_xx LOL I might come on after BGT ,4
http://twitpic.com/4f9to Street fair on 3rd ave  summer is here,4
Did some work today ,4
@lesserdevil I quit my job to tweet...i survive off Twitter and Taco Bell...and i nap as to not miss a Tweet ,4
J.O.N.A.S PREMIERE IN THE  USA AAAAAAAAH ,4
@shinellemaria Awesome  haha,4
Learning Meg&amp;Dia's discography by the 8th ,4
is about to go to H's house ,4
"@reba wow 8 different looks , Reba you are very busy this days , but you always have time for fun that's nice ",4
@sirdaniels come on over! Hindu Temple Delaware! ,4
@illupocattivo Really great food! ,4
@Geneva79 LMAO! Well u know I work nights so I just woke up Lol I'm bout to get ready for work so i'll TTYL ,4
waiting for mum! then out with her for the evening.circus in the morning ,4
"@climber514 I'll check them out for sure, thanks! ",4
@thaisganci Heloow baby  #fletcherday .,4
"Yummmm...homemade pizza, the riches and my sexy bf. So happy  pause time right now please ",4
@davidhiggerson well it is the second biggest city ,4
@bryan_white i know you are talking about my friend natasha when you say die hard fan ,4
We love our LYS. I'm uploading the videos now. ,4
"I love miss laurel, she gave me a mug award. ",4
@christiecupcake I just recently admitted to myself that I like John Mayer's music...I fought it for many years!  ,4
"is eating Cup Noodles creamy chicken, drinking Guaran� and watching Breakfast at Tiffany's! ",4
"Love Twitlonger ! &lt;3 hahaha, I didn't know it was ! haha, Love you and don't forget: Love, Dream, Peace and Fun ",4
Playing photographer today! Shooting a wedding ,4
@JeminiATX @therealsouthpaw u guys are going to the urban music conference? ME TOO!!!! hehe see yall there ,4
@Fenners Thank youuuuuu! I think so too!  &lt;*&gt;&lt;,4
@charlie_black ohhhhh snapp. Sounds like you got it all planned out.  tell me how the movie is.,4
@Juzzyb not for me. ,4
gonna enjoy a little bit of sunshine ,4
"cant wait to be at the jv baseball game in 30 minutes!! started at 3, but oh well. i will still be there cheering and statting!! ",4
"Having a good day today, even tho I'm at work, hope nothing spoils it! ",4
watching myself when I was born. I was ugly. good thing I turned into this ball of cuteness ,4
yayy seeeing myy best friends tonight ,4
going to the movies with mother and sis  watching ghost of girlfriends past! Matthew Mcconaughey is so adorable! ,4
@springcreekbg They do make Diet Cheerwine.  ,4
@tyefighter LOL you aren't evil. One of my Meezers does that alot and I laugh every time. ,4
@hatz94 Have you ever considered covering something from Plain White T's ? I think u'd do good on &quot;Hey there delilah&quot; Just a thought ,4
I just biked 2.5 miles...then I came home and murdered a fly with a towel  Now I'm listening to Toxic.....,4
"@peedletuck yea, it's good but everyone acts like its amazing. Italian ice? Ice cream is better  haha",4
@Meerkat100 Yes get some photos on. I love looking at the pics people put on. Look forward to seeing yours then ,4
I wanna give a big shout out too all my new followers thanks for join wonderful my world I hope u enjoy ur self lol ,4
mi s-a facut brusc pofta de chipsuri ,4
Hanging out with three nine-year-olds for a few hours... ,4
going camping tonight ... ...  let's look on the bright side: there will be lots and lots of alcohol ,4
Just talked to my grandmother ,4
@outofmyarse DONT DO IT!  unless its an old one ,4
"@kkeira I ment to say, you are right on about that, ",4
Incense. A must have if we share a home. ,4
@R_H_C_P You guys are great ,4
@donica Thanks v much! I could take this opportunity to plug my blog and array of bookmarks. . .but I won't. ,4
Seven pounds if you haven't seen it already ,4
@aplusk am on it now; thanks!!!! only new to twitter so this is really useful. any other suggestions feel free to send through ,4
Going to get tattoo'd. ,4
@brittybre then you should go on funnyfork ,4
"REUNION TONIGHT, BITCHESSSSS ",4
@mrstu69 I hear beer is cheaper in the UK than water!!!!  BBQ sounds yummy. ,4
@adnanmahmud I think I understand now  I just wanted to clarify so no one gets it twisted. I think that is what is happening now,4
Yay...the painkillers finally kicked it.  Now I feel great! (I just wish they would show something good on TV for once!!!),4
@Silversmyth Thank you very much! ,4
"is drinking wine...at 230 in the afternoon. Yep, I'm with the family ",4
"@WeTheTRAVIS I wish i was at Bamboozle. Maybe next year, I'll drive up there! Go get em' Travis! rock on!! ",4
Loving this!!! No work just hanging out with a cutie!!! I so should be doing HW but oh well......  boston is more fun!!,4
http://twitpic.com/4f9vg - bestiess! january '09  ,4
"It's too gloomy out...oh well, I got ravioli so I'm all good. ",4
Excited and happy about tonight! ,4
@DLDavis2nd wait for me  I love naptime,4
http://twitpic.com/4f9vh - @ddlovato elbow-five to you Demii ,4
Is getting ready for the big surprise party ,4
"I always love going to the airport arrivals section because no matter what's going on in this world, people always look genuinely happy. ",4
@Bernzy quit your bitchin!  And thanks! ,4
"@AlohaArleen ooo so its all good, you better watch you back as i will be joing that 20k updates group  lol",4
Watching big bang theory. Haha show is so funny.  sheldon is hilarious.,4
"Goin' to see Wolverine with my parents &amp; lookin @ potential guys I would dream for my album cover includin'  porn star, Andy Kay.. Yum! ",4
"@xlad hey, new pic. Sexy ",4
@hushm0nk3y you should record my voicemail!! ,4
Trying to figure this thing out ,4
@lilyroseallen Happy Birthday!!! we met a while ago in Dubai at the Atlantis! what happens in the Bridge Suit STAYS in the bridge suite ,4
@perihanna aw! you're such a great twend ,4
"ugh, my parents are such dickholes. Haha, my mom has Twitter, lets hope she reads that ",4
"Aunt Ann, I have to say that the treatment here is appalling.  Mandatory naps, baths, feedings, diaper changes.  It's just not fair!! ",4
caps win  happy day,4
still tired.. but staying at home all day.. ,4
"Good start to the series, Caps ",4
@KeeganCheyenne and @ClaireLNPolley Sure! Sounds swell. Tell mr. rodgers he is more than welcome ,4
"suddenly, my eyes are getting dry and tired.. time to sleep  ...  wish my 3rd sister happy birthday again .. everyday is a happy day ",4
@justine08 hey justine.  ,4
Work....eh :/ guess i should be happy to go since im so friggen broke....come eat and tip me reallll well. Lol ,4
JONAS premeire tonight!  can't wait!!,4
@jamesga wondering if i can have some of those &quot; I'm a PC &quot; Stickers looking to do a viral distribution in Asia ,4
"@xpoc @obnoxiousacorns I have to agree - the Teletubby look is NOT the way to go. Now, My Favorite Martian is a whole different story, ",4
@shareski Ordered a Reuben at a new local restaurant...they made it with roast beef...what an insult!  ,4
goodnight ,4
@yourvegas Listening 2 ATATC while drinking a mocha frappucino from Starbucks right now is yummier then ur yogurt ,4
Finally leaving. Then might go to the mall. After that I have to fiind something to do for a few hours AND THEN movies ,4
foods here!!! ,4
@chrishasboobs I love you do you love me if you don't send me anything back I will make a vid and say you have...something ,4
@adamsconsulting really! now u know why u become a tweetheart ,4
"Getting ready for black tie thing and cannot for the life of me remove my daughter's Disney fairy polish from my nails. Ah, well. ",4
"i'm sooo excited, UK tickets for Jonas Brothers world tour go on sale soon !!!! ",4
"@brownbugz: Likewise, that is a mutual feeling  Always good to find someone who makes it a point to ride. ",4
@zeedlle Especially since it's the afternoon. ,4
"I've just seen Taylor Swifts new music video, I LOVE IT, it's so cute ",4
@geekintehpink thanks hon!  Figured I needed to swap teams to one still playing. lol,4
gonna see hannah montana the movie today ,4
@bg0790 Thanks!!! ,4
@alysonstonerAS  you reply to mee aaaah god !  thank you so much,4
@josianna OK you are now half way through the 15. Love the new Avatar by the way ,4
@mileycyrus Hi Miley! you are ok? you're amazing! i love rs  Kisses,4
Loving youuu. ..  hahhaa !,4
Getting ready with @athornton1 for the Derby party! I feel like a kid on Christmas...so excited! ,4
"@rbonini Vermeer, da Vinci, Rembrandt, Canaletto, Stubbs horses, Stubbs dogs or Stubbs horses with people? ",4
"http://twitpic.com/4faby - @STEG343 ...I think you're a very interesting person. And,I think you need to buy your wife a present. ",4
"@itschelseastaub aww, chelsea your so sweet! i love you ",4
"@heLLobrOOklyn I thought of creating art piece about that myth actually, that's why I asked   I'm waiting tho, want a fresh composition ",4
@Alluminare Everything comes in cycles sweetie  Hopefully weather will stay same and Twitter will again get hot ,4
finally got the credit card mess sorted out ,4
@EternalEsme That dress is adorable!!! ,4
Good Day My Friends!  Our website is finally OPEN!  Please check it out and shoot me off your feedback. Thanks!  www.theRIGHTmovement.com,4
milly brennan is a retard ,4
New to twitter... Checking everything out... ,4
@musiqvixen its gettin closer yay can't wait to see u and J. Flyin to NY tonight ,4
@ginalu84 http://twitpic.com/4f9if - fuckin sweet. they still come in the rain and all..... ,4
is going fishing ,4
@rushtonaiter I'm so glad you answered me  I hope you can visit Spain soon. You rock,4
Today marks 6 months of marital bliss between me and @Vegan_Cupcake! I am one lucky SOB. ,4
work w/kayla and shannon.  then sleepover with my kaylabest after!,4
@Petthefish she was born that way ,4
@ifhehasanygum  you know the eppisodeds better than you should ;p but I'm taking a break for now.,4
"Was raining, now sunny.... however the BLACK FLIES are outside waiting to eat me up.. ",4
"@NessUHH http://twitpic.com/4fa9d - Aw, I love it!, it's adorable ",4
@bethenny lol she is very outgoing to hand it to her ,4
@Daionii glasses are hot on girls ,4
Partying Greek Style tonight!!!  http://myloc.me/qIk,4
"Was raining, now sunny.... however the BLACK FLIES are outside waiting to eat me up.. ",4
@Jonasbrothers guys im so excited!!!  REALLY EXCITED! I can't wait! aaaah ? ? ?,4
@Bella8lopez omg i HATE facebook.....i like how twitter's so simple---did you ever get all that food you wanted? i feel your pain ,4
"@WeTheTRAVIS There's nothing to be nervous about. You'll do amazing, like always. No worries! ",4
slept in today ...just waking up ...had too much fun last nite!  ,4
Tired..but well worth the trip. Finally home!! ,4
Good day outside. Let's do something before the fight? ,4
@adelaidejewel how did it go? ,4
"@Fablanta Birch Beer is Root Beer, done better!  I like Boylan's the best. http://bit.ly/kv1Hj",4
"Have stocked up on dvd's popcorn and malteasers, quite night in spending �15 on movies and sweets instead of taxi's and alcohol ",4
"@anitafiander Thx 4 the stats link, Rt'd &amp; put in my favs! Have a fantastic day! ",4
"Bad days turn into good days pretty quickly... Going out tonight.  Weeeehoooooo. Watching Titanic right now, then getting ready! &lt;3",4
"@OpusDei24 besides, everyone knows that denver is the only team in the west thats gonna give the lakers a hard time... GO NUGGETS  lol",4
Had a really awesome day! Got to hear the Dalai Lama speak and now i'm off to work.  life is good,4
GARY BASEMAN PROJECT ALL DAY IN SANTA MONICA  enjoy your saturday everyone!! lets go pacquiao!!!!!!!!!!,4
@weezyofficial http://twitpic.com/4f9oo - Love that art work. ,4
@JediMistySpice I got your package!!! OMG thank you soooo much  I now want even more to get to LA and go to the zoo w/you!,4
Re-pinging @Elle_P: @MeGaBoAsT megaaaaaaaa! Hellloooo ,4
Cooking Burgers on the Grill for dinner right now as I tweet along ,4
Going to see Hey Monday  omg MIKE GENTILE ftww,4
"@chriscornell hey, do you watch friends? ",4
show tonight w/ oh the blood. yea. ,4
revisiting my remember maine album. wb is a genius ,4
going To The Monster Truck Thingy !!! Woot Woot ,4
@missaviator You need to go to the kitchen and cook some enchildas. ,4
Hey all Sat in hotel bar with Tizz putting worlds to right again LOL. Karen (Pen) has just left as has Sami Been a fun day ,4
watching britains got talent just love that show ,4
I'm the only person who can fall into mud in the outfield and trip over my own two feet running to first base. I pulled a Joe Jonas ,4
@panamenanegra LoL... Thank you! I try not to waste anyones reading memory who follows me!! ,4
here with my cousen  and sister and soo what r u doing????,4
@GGR3D time to upload a pic hun!  .. i kno you have a zillion-triple-quadro-illion lol....,4
@StarJonesEsq  hey Star . . . Can you rec a pleasant smelling brand of sunscreen? I don't usually wear any but I def need to start. Thnx ,4
@AlohaArleen The same reason we push the elevator button to make the elevator get to us quicker  ,4
@mileycyrus hey! hannah montana the movie came out yesterday me n my best m8 went to see it 2day and its amazing! well done  luv u ,4
quickie workout &amp; watch satc ,4
@frontporchlife Hahaha now they can just hear neat songs. ,4
Sweet.. The ladies selling saris just set up next to me. And jewelry is across the way. This could be dangerous.  I am big India fan!,4
@lohnjovell she should be informed that sleeping thru the night is a good thing ,4
Getting some ice cream with bridget. Yum ,4
@tickledtink no problem! There will be more  hope all is well.,4
@anthonykinard So how do you feel about cheerleading? ,4
@mileycyrus Hey Miley I hope ur having a decent day!  ur amazing at everything u do have a grt day!,4
"@mrbijoy I am the say way- regrettable decisions, but don't regret them. What are you gonna do? ",4
is very jealous of his friends who got tickets to go to the Xmen movie world premiere in Tempe tonight.    // cool http://gykd.net,4
Watching Britains Got Talent... ,4
Hey guys TweetDeck is a fun app 2 use!  http://www.tweetdeck.com,4
"@TamminSursok hey it was fun meetin u at the Flicka 2 shoot, I met u back on April 17th ",4
"had a good day, feel weird.. in a good way. ",4
I am in my friend's home ,4
i love you too sam shelby ,4
@kristinhersh Sounds like you'll be having quite the day! Studio time is my favorite times. ,4
@FreshPlastic You'd better come and eat some of the cake I just made ,4
@ SuzeOrmanShow  Thanks Suze!  ,4
"My newspaper didn't get 'stolen' today... Yaay! Ah yes, it's the little things that please me.  ",4
I've just read the traveler's gift by Andy Andrews. Awesome book!!!! Definately a 'must read' for anyone ,4
Taking a break on the sweaty Central Market patio with a bottle of sassparilly listening to a hurdy gurdy band. ,4
@elephantproject that's great!!! I got him and becki newton at joe's pub once ,4
hello twitter world ,4
"@trapezoid Neil, do you know when the next season of new kids on the rock starts? i know you've prolly been asked a lot but i cant wait!! ",4
I 4GOT 2 MY HOMIE ON FF! SO HERES MY FINAL HOMIE THAT NEEDS TO BE SMASHED! FOLLOW @PhilGoodlife &amp; remind him he owes me a blue motorcycle ,4
"@HoopinisPassion hehe, i was out eating lunch; then stopped at wal-mart! but i'm back noww! ",4
Hi  school model search @ work today: AKA employees get to dress up like they're from the 80s. WIN.,4
@Homeschool_Mom I certainly will... will try to have it up for you by end of the day ,4
I am off to get my nails done.  Tweet at everybody later!  ,4
"@lexschroeder thanx d000d  Hey, when's DDR? #elephantMemory",4
"@rurumochii that's awesome, I've always wanted to go to Ireland .  Take pictures! ",4
@ItsChelseaStaub the video is really sweet  i love it so much!,4
"@Sirvinya I sure will! .. My BF treated me, I am soooo chuffed! ",4
@jonesdel I choose my words carefully. And tweet a lot ,4
@cg_2001 THANKS! I adore this track! Got me dancing already!  ? http://blip.fm/~5fkpy,4
"@MasterSavage hi John, how is YOUR day? ",4
got ma internet bak  but dobbs has apparently signed for swansea  and we got humped so an inbetween day,4
"@bassguitar65 I'm fine, thank you! Traveling &amp; enjoying every moment!!! Life is GOOD!  What about you?",4
Odd day. Watched a sea king hover over the mountain by our house to rescue someone who fell into the river. Not much happens around here ,4
Got a late start. Im good now ,4
Home after being out since 12. Went to see sister in her show. Was very good ,4
"@socalvballqt YAY i LOVE thunderstorms   Tennessee + thunderstormes = perfect, that's how it was when i was there ",4
Partyin for ashleys birfday! Fun in the sun!!!  Shout outz to Statutory Skizz,4
@radha_ Good night. It will be sometime before I go off to sleep! ,4
"@dougluberts Oh, that sounds like awesome footage for your demo reel. ",4
is very proud of @Z_A_Reid  He got rid of an entire garbage bag of clothes he no longer wore^^ He helped a good cause ,4
"Is driving down the interstate with P. Shane on low fuel and neither of us have any money, so we are praying they make it home ",4
@NewportTaupe trying to potty train my puppy... ,4
@ItsChelseaStaub I love the video! It's so cute ,4
Join My Exclusive Marketing Group @MasterSavage  http://tr.im/khLq,4
